date,tavg,tmin,tmax,prcp,wdir,wspd,pres,hum
5/27/2022,15.9,14,19.7,1,,,,71.5
5/28/2022,16.1,14.1,19.8,0.3,252,16.1,1013.6,71.5
5/29/2022,15.5,13.9,18.1,4.6,248,16,1013.6,79
5/30/2022,16,14.2,19.5,5.6,251,15.2,1012.4,73.5
5/31/2022,15.2,14.4,16.2,16,254,20.7,1011.4,91
6/1/2022,15.8,14.1,17.3,10.7,264,23.1,1011.4,84
6/2/2022,16.3,14.6,18.4,0.8,259,18.6,1011.5,81
6/3/2022,16.2,14.6,19.5,3.8,257,17.8,1011.7,75.5
6/4/2022,17.1,14.6,21.7,0,253,11.5,1011.6,64.5
6/5/2022,17,14.5,21.5,0,246,10.6,1011.8,65
6/6/2022,16.1,14.1,19.2,0.9,248,13.6,1012.3,74.5
6/7/2022,15.6,14.3,18,0.8,250,15.2,1012.8,81.5
6/8/2022,16.4,14.2,21.6,0,254,14.5,1012.9,63
6/9/2022,16.7,14.7,20.1,0.3,252,13.8,1012.6,73
6/10/2022,17.1,14.1,21.3,0,253,11.8,1013.4,64
6/11/2022,16.1,13.8,18.9,0,250,12.8,1014.1,74.5
6/12/2022,16.4,14,20.4,0,256,11.2,1014,68
6/13/2022,16.6,13.2,21.3,0,258,9.5,1013.9,59.5
6/14/2022,17.2,13.2,21.2,0,260,5.7,1013.2,60
6/15/2022,15.8,13.6,20.8,6.1,256,8.6,1012.6,64
6/16/2022,16.1,13.8,19.2,3.3,265,7.3,1012.6,73
6/17/2022,16.5,14,20,5.1,254,8.8,1012.7,70
6/18/2022,16.8,14.2,21,0,243,7.3,1012.7,66
6/19/2022,16.2,13.5,21,0.8,249,7.9,1013.1,62.5
6/20/2022,17.1,13.2,21,0,256,9.6,1012.6,61
6/21/2022,15.8,13.5,18.8,0,260,14.6,1011.8,73.5
6/22/2022,14.8,13,18.2,0,257,14.2,1013.3,74
6/23/2022,16.3,13.2,20,0,254,10.8,1014,66
6/24/2022,15.8,14.3,18.5,0,262,15.5,1013.1,79
6/25/2022,15.9,14.5,18,2.5,264,19.6,1011.4,82.5
6/26/2022,15.5,13.8,18.1,1.1,267,17.9,1012.2,78.5
6/27/2022,16.2,13.5,19.5,0,267,17,1013.2,70
6/28/2022,16.1,14.4,19.1,0,271,17.4,1013.1,76.5
6/29/2022,16.4,14.7,19.5,0,270,17.2,1011.6,76
6/30/2022,15.6,14.4,19,3,270,18.5,1011.3,77
7/1/2022,17.2,14.4,20.7,0,268,13.8,1011.1,68.5
7/2/2022,17.2,15,21.4,0.5,267,12,1010.5,68
7/3/2022,15.7,14.3,17.8,3.8,267,20.8,1010.7,82.5
7/4/2022,15.6,13.5,18.8,17.3,268,21.7,1011.4,73.5
7/5/2022,14.6,14,16.1,32.3,269,21.2,1011.5,89.5
7/6/2022,15.2,14,17,2,273,20.1,1012.5,85
7/7/2022,15.5,14.2,16.5,4.3,268,20,1014.1,88.5
7/8/2022,16.2,13.4,18.7,3,268,14.8,1013.3,73.5
7/9/2022,14.9,13.9,16.5,1.8,267,20.7,1012.2,87
7/10/2022,14.7,13.8,16.3,4.1,264,20,1012.8,87.5
7/11/2022,14.7,13.5,16.4,32.5,257,19.8,1014.7,85.5
7/12/2022,14.7,13.9,16.5,0.3,250,20.6,1014.6,87
7/13/2022,14.8,12.9,17.6,1.8,251,23.9,1012.4,76.5
7/14/2022,14.7,13.2,17.6,4.6,254,20.9,1011.6,78
7/15/2022,15.6,13.8,19.4,1.3,260,19.5,1011.8,72
7/16/2022,15.7,13.7,19.2,5.6,262,13.4,1012.7,72.5
7/17/2022,17.2,13.5,21,0.3,266,9,1012.9,62.5
7/18/2022,17.2,13.4,23.2,0,266,5.7,1012.4,51
7/19/2022,17.3,12.1,22.9,0,310,5,1012.4,46
7/20/2022,17.7,12.4,23.2,5.6,262,3.5,1011.9,46
7/21/2022,16.4,14.9,21.1,4.6,277,6.6,1012.2,69
7/22/2022,16.5,13.9,20.5,7.4,258,12.5,1012.8,67
7/23/2022,15.6,13.9,17.8,6.4,264,19.9,1012.6,80.5
7/24/2022,16.2,13.9,18.1,0.8,264,18,1012.4,79
7/25/2022,17.2,13.6,22.2,0,277,6.9,1012.6,57
7/26/2022,16.7,12.9,20.2,17.5,295,4.6,1012.5,63.5
7/27/2022,16.1,13.4,19.4,6.4,316,4.3,1012.3,70
7/28/2022,15.8,13,18.6,4.6,276,4.2,1012.5,72
7/29/2022,16,13.5,18.4,6.4,325,3.2,1012.5,75.5
7/30/2022,15.2,12.8,21,0,270,3.3,1012,59
7/31/2022,16.2,12.4,20.5,1.3,256,5.3,1010.6,59.5
8/1/2022,15.4,13.6,18.2,21.8,261,19.9,1010.3,77
8/2/2022,14.6,13.4,16.1,25.9,264,23.4,1009.3,86.5
8/3/2022,14.8,14.2,15.7,59.4,260,21.5,1009.5,92.5
8/4/2022,14.5,14.2,15.7,39.1,259,22.7,1010.4,92.5
8/5/2022,14.6,13,16.2,21.3,262,22.1,1011.9,84
8/6/2022,14.6,13.7,16.4,5.1,260,19.2,1012,86.5
8/7/2022,14.6,12.9,17.7,1.5,259,21.8,1011.4,76
8/8/2022,14.6,13.3,16.6,0,255,22.3,1011.8,83.5
8/9/2022,14.5,13.3,16.8,0,260,22.5,1011.7,82.5
8/10/2022,16.1,12.5,18.7,0,259,18.8,1011.9,69
8/11/2022,16.4,13.8,19.8,0,268,17.9,1012.6,70
8/12/2022,16.1,13.4,20,0,270,15.7,1013.4,67
8/13/2022,17,13.4,22.5,0,267,10.5,1012.9,54.5
8/14/2022,16.6,11.6,22,0,289,5.4,1013.3,48
8/15/2022,16.1,10.9,21.9,0,79,4.4,1013.7,45
8/16/2022,16.6,11.9,22.2,0,71,4.2,1013.4,48.5
8/17/2022,17.1,13.3,22.3,1.5,261,3.9,1013.6,55
8/18/2022,16.4,14,21.1,2.3,247,8.5,1013.5,64.5
8/19/2022,16,13.9,19.4,1.6,255,12.8,1013.2,72.5
8/20/2022,16.8,13.5,21.5,0,252,11.2,1013.5,60
8/21/2022,15.9,12.7,19,0,254,16.3,1013.3,68.5
8/22/2022,15.2,12.4,17.6,3.8,259,18.9,1012.8,74
8/23/2022,15.1,13.7,17.8,19.8,263,21.1,1013,79.5
8/24/2022,15.1,14.2,17.3,3.8,268,16.7,1013.8,84.5
8/25/2022,15.5,13.4,19.6,0.3,260,12.2,1012.4,69
8/26/2022,15.6,13.7,20,0,256,8.6,1011.8,68.5
8/27/2022,14.4,13.1,16.4,14.7,261,17,1011.6,83.5
8/28/2022,14.9,13.5,20.1,1.8,259,14,1011.7,67
8/29/2022,15.7,13.5,20,0.3,258,6.7,1012.1,67.5
8/30/2022,15.8,13.9,21.6,0,117,3.9,1012.1,61.5
8/31/2022,15.3,13.4,18.2,21.6,259,5.5,1011.5,76
9/1/2022,14.2,13.3,16.1,17.8,256,13.6,1012.5,86
9/2/2022,14.7,13.1,18.1,3.8,251,13.7,1013.6,75
9/3/2022,15.4,13.3,18,0.5,253,12.9,1013.5,76.5
9/4/2022,16.6,14.5,21.1,4.6,255,9.5,1013.1,67
9/5/2022,14.8,14.8,18.6,0,252,9.3,1012.4,81
9/6/2022,14.5,13.4,15.5,35.1,256,21.7,1013.1,89.5
9/7/2022,14.5,13.4,16,3.3,258,20.6,1013.2,87
9/8/2022,15,12.9,18.6,0.2,262,19.1,1013.4,71.5
9/9/2022,14.9,13.5,17.9,0,255,17.1,1013.4,78
9/10/2022,15.9,13.9,18.9,0,256,19.5,1013.4,75
9/11/2022,15.5,13.1,19.7,0,258,16.5,1013.5,67
9/12/2022,15.4,13.3,19.3,0,252,12.2,1013.5,70
9/13/2022,15.2,12.3,20.8,0,253,6.2,1014.4,57.5
9/14/2022,16.2,12.4,20.6,1.4,250,3.4,1015.7,59
9/15/2022,15.9,13.2,19.9,1.4,249,5.2,1016.1,66.5
9/16/2022,15.9,11.5,20.3,0,259,4,1014.2,56
9/17/2022,16.2,12,20.5,0.3,247,4.8,1013.7,57.5
9/18/2022,15.5,11.7,20.3,0.2,244,8,1014.6,57
9/19/2022,15.7,13,19.9,0.3,251,11.1,1014.8,65.5
9/20/2022,15.9,13.5,19.8,0.5,255,11.6,1014.5,68.5
9/21/2022,16,13.3,20,0.7,251,10.6,1014.4,66.5
9/22/2022,16.1,13.1,20.2,0,249,12,1014.5,64.5
9/23/2022,15.4,12.9,19.5,0,255,13.2,1015.1,67
9/24/2022,15.4,12.1,20.1,0,255,11.6,1014.1,60
9/25/2022,16.9,10.7,23,0,291,5.6,1012.8,38.5
9/26/2022,16,13.4,21,4.6,253,5.1,1013.9,62
9/27/2022,16,11.9,20.3,1.8,253,5.9,1013.1,58
9/28/2022,13.9,12.4,19,0,247,10.6,1012.3,67
9/29/2022,15.8,12.7,19,0.5,254,14.3,1012.4,68.5
9/30/2022,14.9,13.2,19,1.5,248,17.7,1013.2,71
10/1/2022,14.9,13.5,16,7.4,258,21.2,1012.9,87.5
10/2/2022,14.8,14,15.8,43.2,266,21.6,1012.2,91
10/3/2022,14.7,14,16.6,60.7,267,19.7,1011.9,87
10/4/2022,15.4,13.9,19.5,5.6,263,9.8,1012.3,72
10/5/2022,14.9,13.5,19.8,1.5,254,11.4,1012.9,68.5
10/6/2022,14.5,13.2,18.4,0.3,259,13.1,1012.6,74
10/7/2022,15.1,12.4,19.1,1,257,9.6,1013.1,66.5
10/8/2022,15.8,12.3,19.7,0,277,6.4,1013.1,63
10/9/2022,16.4,11.1,21.5,0,299,4.3,1013.3,48
10/10/2022,16,13.3,20.3,0.5,257,3.2,1014.7,65
10/11/2022,15.9,11.9,20.1,3.8,253,3,1014.6,59
10/12/2022,15.3,11.5,19.1,15.5,247,4.5,1014.8,62
